name,address,description,facilities,location,single_room_price,double_room_price,family_room_price
Plataran Komodo Resort & Spa,Labuan Bajo,"Luxury beachfront resort with spa, diving and sunset views.","WiFi, Pool, Spa, Restaurant, Airport Shuttle",Labuan Bajo,1500000,2000000,3000000
Puri Sari Beach Hotel,Labuan Bajo,"Peaceful beach hotel with tropical gardens and great hospitality.","WiFi, Restaurant, Private Beach, Garden",Labuan Bajo,850000,1200000,1700000
Komodo Resort & Diving Club,Komodo Island,"Remote island resort ideal for divers and nature lovers.","Diving Center, Restaurant, Beachfront",Komodo Island,1400000,1800000,2500000
Seaesta Komodo Hotel & Hostel,Labuan Bajo,"Trendy hotel/hostel hybrid with rooftop bar and sea view.","WiFi, Pool, Bar, Co-working Space",Labuan Bajo,350000,550000,900000
AYANA Komodo Waecicu Beach,Labuan Bajo,"5-star resort with private jetty and luxury rooms.","WiFi, Infinity Pool, Spa, Gym, Restaurant",Labuan Bajo,2000000,3000000,4500000
Meruorah Komodo Labuan Bajo,Labuan Bajo,"Modern hotel with Komodo views, ideal for leisure and business.","WiFi, Pool, Meeting Rooms, Restaurant",Labuan Bajo,1600000,2200000,3500000
Kristal Hotel Kupang,Kupang,"Classic hotel in Kupang with sea views and event facilities.","WiFi, Pool, Restaurant, Meeting Room",Kupang,600000,900000,1400000
Amaris Hotel Kupang,Kupang,"Budget-friendly hotel in the heart of Kupang city.","WiFi, Restaurant, Parking",Kupang,400000,600000,950000
NIHI Sumba,Sumba Barat Daya,"World-renowned luxury resort with private villas and spa.","Spa, Private Pool, Butler Service, Yoga",Sumba Barat Daya,9000000,15000000,20000000
Lelewatu Resort Sumba,Sumba Barat Daya,"Cliff-top luxury retreat offering panoramic ocean views.","Spa, Private Pool, Restaurant",Sumba Barat Daya,7000000,10000000,15000000
Sunrise Hotel,Labuan Bajo,"Simple hotel near harbor with rooftop restaurant.","WiFi, Restaurant, Rooftop",Labuan Bajo,400000,600000,1000000
Bintang Flores Hotel,Labuan Bajo,"Hotel with beach access and poolside relaxation.","WiFi, Pool, Restaurant, Private Beach",Labuan Bajo,1000000,1300000,1900000
Kanawa Beach Resort,Kanawa Island,"Rustic beach resort perfect for snorkeling and diving.","Restaurant, Beach Hut, Snorkeling",Kanawa Island,600000,800000,1200000
Blue Marlin Komodo,Labuan Bajo,"Diver-friendly resort with direct access to Komodo diving spots.","Diving Center, Restaurant, WiFi",Labuan Bajo,1100000,1400000,2000000
Hotel On The Rock,Kupang,"Seaside hotel built on a cliff, great for sunsets.","WiFi, Pool, Restaurant, Lounge",Kupang,700000,1000000,1500000
Tanto Hotel,Waingapu,"Affordable hotel with basic rooms in central Waingapu.","WiFi, Parking, Restaurant",Waingapu,300000,450000,700000
Kambaniru Beach Hotel,Waingapu,"Cozy beachside hotel with friendly service.","Beach Access, WiFi, Garden",Waingapu,400000,600000,900000
Utopia Rote Lodge,Rote Island,"Small eco-lodge near quiet beach, ideal for relaxing.","Restaurant, Hammocks, Beachfront",Rote Island,450000,650000,950000
Lasiana Beach Hotel,Kupang,"Simple accommodation near Lasiana beach and night market.","WiFi, Parking, Local Cafe",Kupang,350000,550000,800000
Dragon Dive Komodo,Labuan Bajo,"Dive-centered hotel with group packages.","Diving Pool, Restaurant, Shared Dorm",Labuan Bajo,500000,700000,1100000
Eco Tree O'tel,Labuan Bajo,"Eco-conscious stay with treehouse vibes and rooftop cafe.","WiFi, Rooftop Restaurant, Green Design",Labuan Bajo,600000,900000,1400000
Scuba Junkie Komodo,Labuan Bajo,"Affordable resort focusing on diving trips and courses.","Diving Center, Dorms, Bar",Labuan Bajo,550000,750000,1000000
Hotel La Hasienda,Ende,"Spanish-themed hotel with comfortable rooms and friendly staff.","WiFi, Restaurant, Airport Pickup",Ende,400000,650000,1000000
Capa Resort Maumere,Maumere,"Stylish resort with beautiful sunrise views and coral reefs.","Pool, WiFi, Restaurant, Diving",Maumere,700000,950000,1300000
Sao Wisata Resort,Bajawa,"Countryside resort with mountain views and traditional setting.","WiFi, Local Tours, Restaurant",Bajawa,500000,700000,1000000
Hotel Happy Happy,Bajawa,"Homely guesthouse with friendly hosts near downtown.","WiFi, Breakfast, Parking",Bajawa,300000,450000,700000
Flores Sare Hotel,Ruteng,"Quiet city hotel with great food and garden view.","WiFi, Restaurant, Garden",Ruteng,500000,750000,1000000
Budi Sun Resort,Alor,"Seaside resort near diving spots and quiet bay.","Snorkeling, WiFi, Beachfront",Alor Regency,600000,800000,1200000
Pantai Paris Resort,Sumba Barat,"Resort near untouched beaches and surfing areas.","Surf Access, Restaurant, Beachfront",Sumba Barat,500000,700000,1100000
